id,SalePrice
1461,120038.97653910173
1462,152903.2775939986
1463,181963.136615918
1464,195520.2537478026
1465,199062.5352434535
1466,171908.4413928818
1467,178089.9240458086
1468,161427.73325332563
1469,194277.88506496925
1470,119943.68682105588
1471,189341.58472808325
1472,97744.82260651977
1473,95786.35070475194
1474,146473.45409933932
1475,113063.45491977438
1476,361919.9278775451
1477,251186.21413175605
1478,295412.7752789544
1479,301798.82065708295
1480,472809.9005362876
1481,326428.9960395464
1482,210845.18245169768
1483,177276.45899129286
1484,162212.6966840371
1485,191945.4061720582
1486,192797.2391212154
1487,339664.0373586018
1488,238328.8431329839
1489,194305.748830026
1490,231208.1401657485
1491,195096.57809664906
1492,92974.11947451657
1493,190441.61968921273
1494,300625.8636583907
1495,292538.24737122096
1496,232889.0873490435
1497,180167.14930135943
1498,167901.89548210753
1499,161952.91323095988
1500,152023.51714189677
1501,173871.317775339
1502,144883.3224962222
1503,291263.81678373436
1504,242757.7447367157
1505,225818.3267404169
1506,187663.81894878772
1507,246859.2546030437
1508,203215.83401776533
1509,163650.8594976302
1510,143239.46968618763
1511,148389.8526932101
1512,175027.324052345
1513,152305.88190623088
1514,154518.31990672945
1515,196829.7302224043
1516,157774.5209738584
1517,168396.1112066245
1518,132726.19606318185
1519,208509.98549169523
1520,127296.94131828842
1521,130073.30718678536
1522,178051.28821144527
1523,110725.12096633491
1524,125304.83373513765
1525,120699.31075222147
1526,113522.92912830878
1527,108080.32684460806
1528,136893.65497199463
1529,149955.18217752723
1530,183765.15957692437
1531,106176.14638485076
1532,98820.82162179303
1533,143561.35142748785
1534,127463.40451986801
1535,147889.30436625815
1536,107341.76407469086
1537,64736.28323425001
1538,147111.43689871213
1539,192963.8825938553
1540,94558.23194091654
1541,138994.95279821922
1542,139637.5154898731
1543,190369.34220749213
1544,84483.7975438381
1545,115465.39757458349
1546,135206.0573542653
1547,127611.11201731034
1548,138899.41933856037
1549,119695.91083526284
1550,135077.91384326073
1551,108785.54278422272
1552,135707.09047102084
1553,148404.52258741978
1554,116809.44772110373
1555,159714.47943614126
1556,85517.59748824117
1557,105530.97792645848
1558,97803.01766310359
1559,62746.3188081733
1560,136468.7974103237
1561,129532.67901483353
1562,129906.14515923729
1563,117997.68787384818
1564,155106.07932474796
1565,151362.9345450722
1566,238029.11668469768
1567,77185.1219045784
1568,230656.98037812527
1569,127448.10837852283
1570,138674.5464038662
1571,123037.19550533112
1572,141886.83462751668
1573,237370.75578014142
1574,119205.83634973996
1575,228111.4599562115
1576,241788.76125202113
1577,182097.259648107
1578,148946.427100499
1579,144548.54179161982
1580,197116.8694239307
1581,152670.3337494455
1582,125722.57471549742
1583,296219.90244379675
1584,215542.1224306093
1585,136266.34876071132
1586,67369.17259251358
1587,104582.18554570129
1588,151061.63704745087
1589,96515.4332866431
1590,133990.47702778352
1591,92160.64570117684
1592,114305.55312529957
1593,128178.13688535152
1594,124278.84436791156
1595,107239.43616329688
1596,222531.52224865564
1597,192990.33028414875
1598,228233.79706666223
1599,172355.37418455433
1600,162867.47284849492
1601,69221.64263200256
1602,116621.12728671772
1603,71009.76019096214
1604,259461.91105250406
1605,244142.13820768538
1606,168373.1591760877
1607,175308.2029797189
1608,214448.4710514863
1609,185560.63461393543
1610,150735.53083309537
1611,138317.1349627333
1612,170650.10712348693
1613,161885.93303036503
1614,128746.16614154405
1615,93187.39286642364
1616,77223.37708659793
1617,95268.83218526703
1618,124712.3158081626
1619,140260.9154706708
1620,152741.011658641
1621,137300.0882365334
1622,141610.3486631422
1623,263020.89688823366
1624,210226.6668636549
1625,120677.23613175045
1626,170450.01387875897
1627,190756.48237194953
1628,279679.9620388829
1629,184894.69254493673
1630,345218.0149173682
1631,228858.56499237716
1632,245103.37027629744
1633,174647.99603746374
1634,185167.57144951116
1635,176554.94761610383
1636,153207.42501265154
1637,198929.26853328626
1638,180685.89403596747
1639,190256.0290716476
1640,251125.4807438162
1641,185051.69495750195
1642,237919.15435509427
1643,216221.3263692164
1644,232993.7595933583
1645,195924.5094210762
1646,158655.27580528485
1647,162618.17940677618
1648,130122.98575691262
1649,139041.71945964964
1650,114439.7622177981
1651,120889.21275996117
1652,98103.5654166101
1653,99831.13104360177
1654,146083.03490269248
1655,138768.14593526215
1656,140830.5657282335
1657,147765.22592454636
1658,143737.6873791623
1659,119950.32234821939
1660,155842.4995462526
1661,420556.1749636651
1662,409644.4925991667
1663,379737.58040667407
1664,408347.23766273586
